email_index,priority,reasoning
869,1,Promotional content with no required action
870,1,Promotional content with no urgent action required
871,1,Promotional spam with no required action
872,1,It's a news digest with no required action
873,3,"Event is tonight, requiring immediate attention"
874,1,Informational announcement about a conference call with no required action
875,1,"Promotional email, no action required"
877,1,"Promotional marketing email, no action required"
878,1,"Informational, no action needed"
880,1,Joke with no actionable request
881,1,"Informational email about ticket specials, no action required"
882,1,"Contains news updates about Enron, no action required"
883,1,Condolence message with no required action
884,3,Urgent data request for investigation requires immediate attention
885,2,Request for status update requiring a response
886,1,Informational FYI with no required action
887,2,"Attachment sent, requires review"
888,1,Informational newsletter with no required action
889,1,"Informational forwarded summary, no action required"
890,1,Informational survey results with no action required
891,3,Needs response before tomorrow's meeting
892,1,"Promotional travel information, no action required"
893,3,Reminder about a same-day meeting requiring immediate attention
894,1,"No actionable request, just forwarded commentary"
896,1,"Simple thank you note, no action required"
897,2,Contains a request to respond to a colleague
899,1,"Email contains news updates only, no action required"
900,1,Simple forwarding request with no urgent deadline
901,1,Promotional email with no required action
902,1,"Newsletter informational, no action required"
903,1,Promotional spam with no required action
904,3,Schedule download failed and requires immediate manual intervention
906,1,Informational copy with no clear action required
908,2,Needs a response to discuss arguments but not urgent
909,1,Informational content with no actionable request
910,2,Legal document revision requires review but no urgent deadline
911,2,"Request for clarification and assistance, but not urgent"
912,1,Informational newsletter with no required action
913,2,Requires a response but no urgent deadline indicated
914,1,"Informational list of articles, no action required"
915,1,Birthday greeting with no required action
916,1,Informational announcement about holiday hours
917,1,Personal forward with no required action
918,2,Missing schedule file requires follow-up
919,1,The email contains no clear actionable request or urgent matter
920,2,Informational about a sponsorship event that may need a response but is not urgent
921,2,Needs review of attached preliminary drafts
922,1,It's a forwarded news update with no required action
923,1,Informational invitation with no urgent action required
924,1,"No clear request or urgency, appears informational"
925,2,Issue with incorrectly booked deals requires response
926,1,"Spam advertisement, no action required"
927,1,"Informational distribution list request, no urgent action needed"
928,2,Request for speaker and attendance info requires a response but is not urgent
929,1,"Email contains only praise, no actionable request"
930,2,Requires a response but no urgent deadline indicated
931,3,Urgent contract execution needed for upcoming start date
932,2,Needs response to provide trade count information
933,1,"Promotional spam, no action required"
934,1,"Informational update, no action required"
936,1,Informational update about interview outcomes
937,1,"Promotional marketing email, no action required"
938,2,"Survey request, not urgent"
940,1,"Informational news summary, no action required"
943,2,Needs a response to provide input on standards
945,2,Requires a response from Carol but not time-sensitive
946,2,Sender asks for scheduling details and needs a response
947,2,Seeking input on organizational change
948,2,Suggestion for Thursday meeting needs response
949,1,Forwarded chain email with no actionable request
950,1,"Informational spam, no action needed"
951,1,"Casual personal reply, no action required"
953,2,Invitation requires a response but is not time-sensitive
954,2,Request asks for action but no urgent deadline
955,2,Requires response to discuss settlement impact but not urgent
956,1,Email contains personal data without urgent request
957,1,Promotional email with no required action
958,3,Urgent conference call scheduled today
959,1,"No actionable request, just a forwarded notice"
960,1,Promotional email with no required action
961,1,"Congratulatory note, no action needed"
962,2,Needs a response but not urgent
963,1,"Informational newsletter, no action required"
964,1,Informational market bulletin with no required action
965,2,Meeting invitation requires RSVP but is not urgent
966,1,"No actionable request, informal and not urgent"
968,2,Request for scheduling a call requires a response but is not urgent
969,1,Forwarded informational message with no clear action required
970,3,Urgent request for cost data needed early Friday
971,1,Informational announcement with no required action
972,1,Email lacks clear request or urgency
974,1,Email contains only broken image links and no actionable request
975,1,"Just a thank‑you note, no action needed"
976,1,Informational update with no immediate action required
979,2,Needs response to confirm agreement changes
980,1,Promotional spam with no required action
981,1,"Casual food suggestion, no urgent action required"
982,1,Forwarded informational email with no clear action required
983,2,Meeting request needs a timely response
984,1,"Personal update, no action required"
985,3,Meeting request for noon requires immediate attention
986,1,"Informational newsletter, no action required"
987,2,Requires response to arrange meeting and follow up today
988,2,"Request to call and clarify issue, needs a response"
989,1,FYI informational email with no required action
990,1,Informational forward with no required action
991,1,"Spam advertisement, no action required"
992,1,Promotional email with no urgent action required
993,1,"Informational announcement, no action required"
994,1,"Just sharing information, no action required"
995,2,"Request for information and discussion, not urgent"
996,1,"Spam promotional content, no action required"
997,1,"Promotional travel deals, no urgent action required"
998,2,Needs coordination for court representation
999,2,Requires response to coordinate meeting plans
1000,1,Promotional newsletter with no required action
1002,2,Requires review and response to finalize the letter agreement
1003,1,Informational update about player upgrades and downgrades
1004,2,Invitation requires a response but is not time-sensitive
1005,2,Upcoming deadline requires response but not immediate
1006,1,Informational reply with no immediate action required
1007,1,"Informational update about staffing process, no immediate action required"
1008,1,"Promotional newsletter, no action required"
1009,2,"Request for review and analysis, not urgent"
1010,1,"Automated fantasy football report, no action required"
1011,1,"Informational newsletter, no action required"
1012,3,Urgent action required to prepare closing documents for an imminent deal
1013,1,"Promotional announcement, no action required"
1014,2,"Request for information and written confirmation, not time-sensitive"
1015,1,Promotional spam with no required action
1016,1,"Informational email with product lists, no action required"
1018,1,"Informational content, no action required"
1019,1,"Informational announcement, no action required"
1020,1,"Informational newsletter, no action required"
1021,1,FYI email with no action required
1022,1,"Informational event invitation, no action required"
1023,1,Informational content with no actionable request
1024,1,"No actionable request, just a forwarded personal message"
1025,1,"Informational reply providing fax number, no action required"
1026,1,Informational forward with no action required
1027,1,"FYI about meeting, no action required"
1028,1,"Informational news update, no action required"
1029,1,Informational story with no required action
1031,1,Informational update with no required action
1033,2,Requires follow‑up coordination but not urgent
1034,3,Schedule download failed and needs immediate manual intervention
1035,1,"Email contains only a trivial spelling comment, no action needed"
1036,1,Informational question with no urgent action required
1038,1,Informational content with no required action
1039,1,It's an informational newsletter with no required action
1040,1,"Only provides contact information, no action required"
1041,1,Email is promotional content with no actionable request
1042,1,"Informational market report, no action required"
1043,1,Informational campaign update with no required action
1044,1,"User requests removal from list, no urgent action needed"
1045,1,The email contains a personal comment with no actionable request
1046,1,"Informational update, no action needed"
1047,2,"Clarification request, not urgent"
1048,1,Informational email with no clear action required
1049,2,Requires review of attached corrections but not urgent
1050,1,Promotional update with no required action
1052,1,"Promotional newsletter solicitation, no action required"
1054,1,Email is informational with no clear action required
1055,2,"Asks about holiday plans, requires response but not urgent"
1056,2,Request for fax and call requires response but not urgent
1057,1,Informational update with no required action
1058,1,Informational announcement with no required action
1059,1,"Informational log about missing schedule, no action required"
1060,1,"Informational announcement, no action required"
1062,1,"Provides clarification, no action required"
1064,1,Informational update with no urgent action required
1065,3,Requires immediate response to confirm phone participation before noon
1066,2,Needs scheduling response within a few weeks
1067,2,Needs response for article approval but no urgent deadline
1069,2,Needs a response but not urgent
1070,1,Informational recap with no required action
1071,2,Needs review and response but not urgent
1072,1,"Provides requested summary, no urgent action needed"
1073,1,"Promotional newsletter, no action required"
1074,2,Request for meeting dates requires a response but is not urgent
1075,1,"Email only confirms meeting, no action required"
1076,1,Informational memo with no immediate action required
1077,1,Forwarded note with no clear actionable request
1078,1,"Just a thank-you note, no action required"
1079,1,"Informational tip, no action required"
1081,2,Suggests coordinated action requiring a response
1082,1,Informational comment with no clear action required
1083,1,"Promotional spam, no action required"
1084,2,Follow-up on project issues requiring a response
1085,1,Promotional email with no required action
1086,1,"Informational sports update, no action required"
1087,1,Forwarded prayer email is informational with no required action
1088,1,"Informational newsletter, no action required"
1089,1,"Promotional email, no action required"
1090,1,The email is a forwarded opinion piece with no clear request or action needed
1092,2,Requires review of attached draft documents
1095,1,"Informational list of contacts, no action required"
1096,1,Informational update with no required action
1098,1,Email is informational with no explicit action required
1099,2,Sender requests an update on the London matter
1100,1,"Promotional survey reminder, no urgent action required"
1101,2,Requires a response but no urgent deadline indicated
1102,1,"Promotional spam, no action required"
1103,1,"Informational email sharing a paper, no action required"
1104,1,Informational email with no action required
1105,1,Informational newsletter with no required action
1106,2,Needs response to coordinate vacation plans
1107,1,Informational FYI with no required action
1108,1,"Informational news article, no action required"
1109,1,"Email contains no actionable request, just political commentary"
1113,1,Promotional advertisement with no required action
1114,3,Urgent past due invoice requires immediate action
1115,1,"Informational news article, no action required"
1116,3,Donation collection needed by tomorrow
1117,1,"Cancellation notice, no immediate action required"
1118,1,"Spam marketing email, no action needed"
1119,1,Promotional event invitation with no urgent action required
1120,1,"Promotional spam, no action required"
1121,1,Informational marketing summary with no required action
1122,2,Needs coordination for a meeting by Wednesday
1123,1,"Promotional spam, no action required"
1125,1,Informational news update with no immediate action required
1127,1,"Informational update about hearings, no action required"
1128,1,Informational email with no actionable request
1129,3,High importance request for missing information
1130,1,Invitation is informational with no urgent action required
1131,1,Informational HR announcement with no required action
1132,1,"Informational article, no action required"
1133,1,"Informational announcement about a conference, no action required"
1135,1,Informational news with no required action
1136,1,"Informal, non‑urgent message with no clear actionable request"
1137,1,"Promotional spam, no action required"
1138,1,Email is a routine meeting notice with no urgent action required
1139,2,Contains a request for follow‑up about a job interview
1141,3,Requires prompt scheduling of a meeting before the upcoming conference
1142,2,"Invitation to info session, response needed but not urgent"
1143,1,"Informational notice about availability, no action required"
1144,1,"Friendly check‑in, no action required"
1145,1,"Informational email about a service, no action required"
1147,1,"Informational thank-you, no action needed"
1148,3,Urgent deal execution needed for tax reasons
1149,1,"Informational about new locations, no action required"
1150,1,Promotional newsletter with no required action
1151,2,Needs internal discussion and response but not urgent
1152,2,Contains action items requiring a response but no urgent deadline
1154,1,Promotional content with no required action
1155,1,"No actionable request, just informational"
1156,3,Missing schedule file requires immediate attention
1157,1,Informational internal announcement with no required action
1158,1,Promotional email with no actionable request
1159,2,Needs response to coordinate document review
