email_index,priority,reasoning
979,2,Needs response to confirm agreement changes
980,1,Promotional spam with no required action
981,1,"Casual food suggestion, no urgent action required"
982,1,Forwarded informational email with no clear action required
983,2,Meeting request needs a timely response
984,1,"Personal update, no action required"
985,3,Meeting request for noon requires immediate attention
986,1,"Informational newsletter, no action required"
987,2,Requires response to arrange meeting and follow up today
988,2,"Request to call and clarify issue, needs a response"
989,1,FYI informational email with no required action
990,1,Informational forward with no required action
991,1,"Spam advertisement, no action required"
992,1,Promotional email with no urgent action required
993,1,"Informational announcement, no action required"
994,1,"Just sharing information, no action required"
995,2,"Request for information and discussion, not urgent"
996,1,"Spam promotional content, no action required"
997,1,"Promotional travel deals, no urgent action required"
998,2,Needs coordination for court representation
999,2,Requires response to coordinate meeting plans
1000,1,Promotional newsletter with no required action
1002,2,Requires review and response to finalize the letter agreement
1003,1,Informational update about player upgrades and downgrades
1004,2,Invitation requires a response but is not time-sensitive
1005,2,Upcoming deadline requires response but not immediate
1006,1,Informational reply with no immediate action required
1007,1,"Informational update about staffing process, no immediate action required"
1008,1,"Promotional newsletter, no action required"
1009,2,"Request for review and analysis, not urgent"
1010,1,"Automated fantasy football report, no action required"
1011,1,"Informational newsletter, no action required"
1012,3,Urgent action required to prepare closing documents for an imminent deal
1013,1,"Promotional announcement, no action required"
1014,2,"Request for information and written confirmation, not time-sensitive"
1015,1,Promotional spam with no required action
1016,1,"Informational email with product lists, no action required"
1018,1,"Informational content, no action required"
1019,1,"Informational announcement, no action required"
1020,1,"Informational newsletter, no action required"
1021,1,FYI email with no action required
1022,1,"Informational event invitation, no action required"
1023,1,Informational content with no actionable request
1024,1,"No actionable request, just a forwarded personal message"
1025,1,"Informational reply providing fax number, no action required"
1026,1,Informational forward with no action required
1027,1,"FYI about meeting, no action required"
1028,1,"Informational news update, no action required"
1029,1,Informational story with no required action
1031,1,Informational update with no required action
1033,2,Requires follow‑up coordination but not urgent
1034,3,Schedule download failed and needs immediate manual intervention
1035,1,"Email contains only a trivial spelling comment, no action needed"
1036,1,Informational question with no urgent action required
1038,1,Informational content with no required action
1039,1,It's an informational newsletter with no required action
1040,1,"Only provides contact information, no action required"
1041,1,Email is promotional content with no actionable request
1042,1,"Informational market report, no action required"
1043,1,Informational campaign update with no required action
1044,1,"User requests removal from list, no urgent action needed"
1045,1,The email contains a personal comment with no actionable request
1046,1,"Informational update, no action needed"
1047,2,"Clarification request, not urgent"
1048,1,Informational email with no clear action required
1049,2,Requires review of attached corrections but not urgent
1050,1,Promotional update with no required action
1052,1,"Promotional newsletter solicitation, no action required"
1054,1,Email is informational with no clear action required
1055,2,"Asks about holiday plans, requires response but not urgent"
1056,2,Request for fax and call requires response but not urgent
1057,1,Informational update with no required action
1058,1,Informational announcement with no required action
1059,1,"Informational log about missing schedule, no action required"
1060,1,"Informational announcement, no action required"
1062,1,"Provides clarification, no action required"
1064,1,Informational update with no urgent action required
1065,3,Requires immediate response to confirm phone participation before noon
1066,2,Needs scheduling response within a few weeks
1067,2,Needs response for article approval but no urgent deadline
1069,2,Needs a response but not urgent
1070,1,Informational recap with no required action
1071,2,Needs review and response but not urgent
1072,1,"Provides requested summary, no urgent action needed"
1073,1,"Promotional newsletter, no action required"
1074,2,Request for meeting dates requires a response but is not urgent
1075,1,"Email only confirms meeting, no action required"
1076,1,Informational memo with no immediate action required
1077,1,Forwarded note with no clear actionable request
1078,1,"Just a thank-you note, no action required"
1079,1,"Informational tip, no action required"
1081,2,Suggests coordinated action requiring a response
1082,1,Informational comment with no clear action required
1083,1,"Promotional spam, no action required"
1084,2,Follow-up on project issues requiring a response
1085,1,Promotional email with no required action
1086,1,"Informational sports update, no action required"
1087,1,Forwarded prayer email is informational with no required action
1088,1,"Informational newsletter, no action required"
1089,1,"Promotional email, no action required"
1090,1,The email is a forwarded opinion piece with no clear request or action needed
1092,2,Requires review of attached draft documents
1095,1,"Informational list of contacts, no action required"
1096,1,Informational update with no required action
1098,1,Email is informational with no explicit action required
1099,2,Sender requests an update on the London matter
1100,1,"Promotional survey reminder, no urgent action required"
1101,2,Requires a response but no urgent deadline indicated
1102,1,"Promotional spam, no action required"
1103,1,"Informational email sharing a paper, no action required"
1104,1,Informational email with no action required
1105,1,Informational newsletter with no required action
1106,2,Needs response to coordinate vacation plans
1107,1,Informational FYI with no required action
1108,1,"Informational news article, no action required"
1109,1,"Email contains no actionable request, just political commentary"
1113,1,Promotional advertisement with no required action
1114,3,Urgent past due invoice requires immediate action
1115,1,"Informational news article, no action required"
1116,3,Donation collection needed by tomorrow
1117,1,"Cancellation notice, no immediate action required"
1118,1,"Spam marketing email, no action needed"
1119,1,Promotional event invitation with no urgent action required
1120,1,"Promotional spam, no action required"
1121,1,Informational marketing summary with no required action
1122,2,Needs coordination for a meeting by Wednesday
1123,1,"Promotional spam, no action required"
1125,1,Informational news update with no immediate action required
1127,1,"Informational update about hearings, no action required"
1128,1,Informational email with no actionable request
1129,3,High importance request for missing information
1130,1,Invitation is informational with no urgent action required
1131,1,Informational HR announcement with no required action
1132,1,"Informational article, no action required"
1133,1,"Informational announcement about a conference, no action required"
1135,1,Informational news with no required action
1136,1,"Informal, non‑urgent message with no clear actionable request"
1137,1,"Promotional spam, no action required"
1138,1,Email is a routine meeting notice with no urgent action required
1139,2,Contains a request for follow‑up about a job interview
1141,3,Requires prompt scheduling of a meeting before the upcoming conference
1142,2,"Invitation to info session, response needed but not urgent"
1143,1,"Informational notice about availability, no action required"
1144,1,"Friendly check‑in, no action required"
1145,1,"Informational email about a service, no action required"
1147,1,"Informational thank-you, no action needed"
1148,3,Urgent deal execution needed for tax reasons
1149,1,"Informational about new locations, no action required"
1150,1,Promotional newsletter with no required action
1151,2,Needs internal discussion and response but not urgent
1152,2,Contains action items requiring a response but no urgent deadline
1154,1,Promotional content with no required action
1155,1,"No actionable request, just informational"
1156,3,Missing schedule file requires immediate attention
1157,1,Informational internal announcement with no required action
1158,1,Promotional email with no actionable request
1159,2,Needs response to coordinate document review
1160,1,"Promotional announcement, no action required"
1161,1,"Promotional price update, no action required"
1162,1,Provides contact information with no immediate action required
1164,1,"Informational update, no action required"
1166,3,"Schedule download failed, requires immediate manual intervention"
1167,2,Follow-up request to discuss legal issues and schedule a meeting
1169,1,"No actionable request, appears informational"
1170,1,"No actionable request, just an exclamation"
1172,1,Informational email with no required action
1173,2,Requires a response to select a boat but not time-sensitive
1174,3,Upcoming claim deadline requires immediate attention
1175,1,Informational content with no required action
1176,1,Email contains no actionable request or urgent information
1177,2,Request for birthday ideas needing a timely response
1178,1,Informational announcement with no action required
1179,3,Urgent request for timesheets needed today
1180,1,It's an informational newsletter with no required action
1181,2,Requires a response to coordinate interview and answer questions
1182,3,Urgent legal matter requiring immediate discussion and possible filing
1183,1,Informational newsletter with no required action
1184,1,"Just a friendly hello, no action required"
1185,2,Action requested but not urgent
1186,2,Needs response to prepare speaker packs before upcoming training dates
1187,1,Informational newsletter with no required action
1188,1,Promotional event invitation with no urgent action required
1189,1,Forwarded notice with no clear action required
1190,3,Urgent request for presentations before upcoming meeting
1191,3,Sender is arriving now and expects immediate handling
1192,1,Unsolicited promotional email with no required action
1193,3,Urgent operational action required to schedule exports within limited capacity
1194,2,Request for budgeting method likely requires a response but no urgent deadline indicated
1195,1,"Informational news article, no action required"
1196,1,Informational daily report with no required action
1197,1,"Provides biographical info, no action required"
1198,2,Request for detailed analysis requires a response but is not urgent
1199,2,"Follow-up email about meeting next week, needs response"
1200,1,"Informational content about an op-ed, no immediate action required"
1201,1,The email only shares a link with no required action
1202,3,Urgent deadline requires immediate time entry
1203,2,Requires response to support pending legislation
1204,1,Informational news update with no required action
1205,1,It's an informational newsletter with no required action
1207,1,Informational announcement with no required response
1208,1,Informational update with no required action
1209,1,Promotional content with no required action
1210,1,"Promotional marketing email, no action required"
1211,1,"Informational update about meeting time, no action needed"
1212,1,Informational invitation with no urgent action required
1214,3,Urgent travel and housing decision required promptly
1215,1,"Spam advertisement, no action required"
1216,2,Needs review and comment on draft claim
1218,3,Meeting schedule for tomorrow requires immediate response
1219,1,"Informational list of news mentions, no action required"
1220,1,"Promotional travel deal, no action required"
1221,3,Urgent request for revisions needed today or tomorrow
1222,1,Informational congratulatory note with no required action
1223,1,Generic solicitation with no actionable request
1224,2,Needs a timely response to schedule a meeting
1225,2,Summary of judge's recommendation requires review
1226,1,"Promotional travel offer, no action required"
1227,3,SQL error and locked file need immediate resolution
1228,1,Informational market report with no required action
1229,2,Suggests a signing action but no urgent deadline
1230,1,It's an informational newsletter with no required action
1232,1,Informational update with no required action
1235,1,Informational notice about potential pay advice discrepancy
1236,2,Needs response to share points by Monday
1238,2,Needs response to confirm booking details
1239,1,Promotional email with no required action
1240,2,Requires response and action but no urgent deadline
1241,1,Spam-like content with no actionable request
1242,1,"FYI about job posting, no action required"
1243,1,Promotional newsletter with no required action
1244,1,Informational content with no required action
1245,1,"Informational announcement, no action required"
1246,2,Needs response to prepare speaker packs before upcoming dates
1247,2,Requires response about settlement services
1248,1,Informational forward with no required action
1249,1,"Promotional newsletter, no action needed"
1250,1,Email contains only a partial HTML snippet with no clear request
1251,1,Informational content with no required action
1252,1,It's an informational newsletter with no urgent action required
1253,1,"Informational about future trip, no immediate action needed"
1254,2,Decision needed on co-chair nomination
1255,1,Promotional spam with no required action
1256,2,Meeting time change requires a response but is not urgent
1257,2,Needs discussion and clarification but not urgent
1258,1,"No actionable request, just a forwarded message"
1259,2,Requires a response but no urgent deadline indicated
1260,1,"Informational news update, no action required"
1261,1,Promotional content with no actionable request
1262,1,The email is a simple thank‑you with no required action
1263,1,"Promotional conference invitation, no immediate action required"
1264,1,"Informational update, no action needed"
1265,1,"Promotional announcement, no action required"
1266,2,Needs a response to confirm if the issue is resolved
1267,1,"Just a forwarded blessing, no action required"
1269,1,Forwarded message with no clear request
1271,1,Promotional email with no required action
1272,1,Promotional spam with no required action
1273,2,Requires response to coordinate strategy but not urgent
1274,1,"Promotional newsletter, no action required"
1275,2,"Contains a request to discuss matters, needs a response"
1277,1,"Promotional content, no action needed"
1278,2,Requires feedback participation but not urgent
1280,3,"Meeting and documents are due today, requiring immediate action"
1281,1,"Provides historical info, no action required"
1282,2,Requires response to confirm meeting attendance
1283,2,Provides update on labor action and requires acknowledgment
1284,1,Informational FYI with no required action
1285,1,Promotional email with no required action
1287,1,Informational email with no required action
1289,1,Informational email with no actionable request
1290,3,Security alert demands immediate response
1291,1,"Spam/phishing newsletter, no action required"
1292,1,Informational content with no required action
1293,2,Request for meter numbers requires a response but is not time-sensitive
1294,1,"Informational update about store reopening, no action required"
1296,3,Urgent signature and fax needed for bank processing
1297,1,Casual conversation with no required action
1298,2,"Job application request, needs response but not urgent"
1300,2,Needs a response but not urgent
1301,3,Meeting scheduled for tomorrow requires immediate attention
1303,2,Request to schedule a follow-up meeting by end of June
1304,1,"Informational newsletter, no action required"
1305,1,"Promotional spam, no action required"
1306,1,"No clear actionable request, appears to be a forwarded spam email"
1307,2,"Sales proposal forwarded, needs response but no urgent deadline"
1308,1,"Spam promotional email, no action required"
1309,1,Informational press release with no required action
1310,1,"Promotional email, no action required"
1311,1,Spam with no actionable content
1312,1,"Spam political rant, no action required"
1313,1,Friendly update with no required action
1315,1,Brief acknowledgment with no required action
1316,3,Meeting time needs confirmation for tomorrow
1317,2,Needs clarification on contract language
1319,1,"Informational news summary, no action required"
1320,1,Informational content with no required action
1321,1,"Spam promotional email, no action needed"
1322,1,"Spam promotional email, no action needed"
1323,1,Informational message with no required action
1324,1,"Informational announcement about portal update, no action required"
1325,2,Requires response to coordinate meeting schedule
1327,2,Requires a response but no urgent deadline
1328,1,Informational update with no required action
1329,2,Contains a follow‑up question requiring a response
1330,1,It's an advertisement with no required action
1331,1,"Informational about campout and dinner, no action required"
1332,1,Informational invitation with no urgent action required
1333,1,"Informational newsletter, no action required"
1334,1,Informational forward with no required action
1335,1,"Informational newsletter, no action required"
1337,1,Informational announcement with no required action
1338,1,Informational forward with no clear action required
1340,1,Informational reply with no action needed
1341,3,Requires immediate scheduling of calls for Monday
1342,1,"Meeting reschedule is informational, no action needed"
1343,1,Informational summary with no required action
1345,1,"FYI informational, no action needed"
1346,1,Informational meeting notice with no required action
1347,1,Informational newsletter with no required action
1348,1,Informational report with no actionable request
1349,1,"Contains no actionable request, just a joke"
1350,2,Requires response to finalize agreement but not urgent
1351,1,Informational announcement with no required action
1352,1,Promotional email with no required action
1354,1,"Promotional spam, no action needed"
1355,2,"Personal ride request, needs reply but not urgent"
1356,1,Informational newsletter with no required action
1357,2,Needs a response to confirm issues but not urgent
1358,2,Needs response to address security confusion
1359,1,Spam-like content with no actionable request
1360,1,"Promotional newsletter, no action required"
1361,1,Informational update with no urgent action required
1363,1,"Promotional email, no action required"
1364,1,"No actionable request, just an excited comment"
1365,2,Request to confirm deals
1366,2,Requires response to provide feedback but not urgent
1367,1,"Spam promotional content, no action required"
1368,1,Newsletter content with no required action
1370,1,Forwarded poem with no action required
1371,1,Informational summary with no required action
1372,1,Informational newsletter with no required action
1373,1,Promotional spam with no required action
1374,1,Informational update with no required action
1375,1,Forwarded report appears informational with no action required
1376,1,Informational content with no action required
1377,3,Deadline approaching requires immediate action
1378,1,Informational welcome message with no required action
1379,1,Informational fare update with no urgent action required
1380,1,Spam advertisement with no actionable request
1381,1,Informational briefing with no required action
1382,2,Technical query about pipeline pigging requires a response
1383,1,Informational forward with no action required
1384,3,Requires prompt review due to short turnaround
1386,1,"Promotional content, no action required"
1387,1,"Informational announcement, no action required"
1388,2,Needs a response about project leadership
1389,2,Requires response but not urgent
1390,2,"Sender seeks clarification and a future chat, but it's not urgent"
1391,1,"Forwarded informational message, no action required"
1392,1,"Supportive message, no urgent action required"
1393,1,"Informational daily summary, no action required"
1394,1,Informational news with no required action
1396,1,"It's a generic tip newsletter, no action required"
1397,1,Informational market update with no required action
1398,1,Informational forward with no action required
1401,2,Interest in buying property requires a response but is not urgent
1402,1,Informational email with no required action
1403,1,Informational forwarded schedule with no urgent action required
1404,1,Informational schedule update with no required action
1405,2,Request for legal risk assessment requires a response but is not urgent
1406,2,Draft comments needed for FERC filing
1407,1,Promotional spam with no required action
1408,2,"Suggests staffing change, needs response but not urgent"
1409,1,Spam newsletter with no actionable request
1410,1,Email contains only a forwarded notice with no actionable request
1411,2,Meeting invitation requires response but not urgent
1412,1,"Spam advertisement, no action required"
1413,1,Informational announcement about an upcoming event
1414,2,Needs response to arrange interview timing
1415,1,Informational promotional content with no required action
1416,1,"Automated fantasy football report, no action required"
1417,3,Meeting scheduled today at 4:00pm requires immediate attention
1418,2,Request to forward a document requires a response but is not urgent
1419,3,"Requires response by today and Friday, time-sensitive"
1420,2,Requires response to provide onboarding details but not urgent
1421,1,Informational email with no clear action required
1422,1,Spam email with unsolicited flash animation link
1423,2,Needs clarification response but not urgent
1424,1,Informal note with no actionable request
1425,1,Informational newsletter with no required action
1427,2,Requires response to advise on CFTC issues but not urgent
1428,3,Harassing and threatening content requires immediate attention
1429,1,Informational forward with no actionable request
1430,2,"Request for survey participation, not urgent"
1431,1,Promotional forward with no actionable request
1432,3,Urgent action required before migration to avoid loss of email capability
1433,1,Provides an updated presentation with no urgent action required
1435,3,Urgent legal review needed by end of day
1437,1,Meeting notice with no actionable content
1438,1,"Event invitation, no urgent action required"
1439,1,Promotional content with no required action
1441,3,Urgent schedule change requiring immediate attention
1443,2,Time-sensitive fare changes require prompt action
1444,1,Informational email with no action required
1446,1,Informational email with no required action
1447,1,Informational newsletter with no required action
1449,3,Schedule download failed and requires manual intervention
1450,1,Informational newsletter with no required action
1451,1,Casual congratulatory note with no required action
1452,1,Informational content with no required action
1454,1,Promotional email with no required action
1456,1,Informational update with no required action
1457,1,"Informational newsletter, no action required"
1458,1,Promotional email with no required action
1459,2,Requires response about meeting attendance
1461,1,Informational update with no required action
1462,1,"Spam advertisement, no action required"
1463,2,"Follow-up email requesting a response, but not urgent"
1464,1,Informational forward with no action required
1465,1,"Informational fare update, no immediate action required"
1466,1,Promotional email with no required action
1467,2,Requires a response but not urgent
1468,1,Email contains informal remarks with no actionable request
1469,1,"Informational update, no action required"
1470,2,Requires response/action but not urgent
1471,1,"Promotional content, no action required"
1473,1,Informal message with no required action
1475,1,"No actionable request, just a personal note"
1477,1,"Informational personal message, no action required"
1478,1,Informational meeting notice with no immediate action required
1479,1,Promotional content with no required action
1480,1,"Informational notice about email address change, no action required"
1481,2,The email asks a question requiring a response but has no urgent deadline
1483,1,Promotional content with no required action
1484,2,"Request for hardware advice, needs response but not urgent"
1485,1,"Newsletter is informational, no action required"
1486,3,Urgent request for slides needed by Wednesday morning
1487,1,Informational conference announcement with no required action
1488,1,Informational weather forecast with no required action
1489,1,"Informational party invitation, no action required"
1490,2,Request for performance feedback requires a response but is not urgent
1491,1,The email contains only a story with no actionable request
1493,1,Informational email with no clear action required
1494,1,"Informational announcement of executive changes, no action required"
1495,2,The email proposes a Friday outing and needs a response
1496,1,"Casual personal message, no urgent action needed"
1497,1,Informational benefits announcement with no immediate action required
1498,3,Schedule download failed and requires manual intervention
1499,1,Internal announcement with no required action
1500,1,Informational FYI with no action required
1501,2,Requires response but not urgent
1502,3,Needs urgent response to confirm representation at upcoming meeting
1503,1,Promotional email with no required action
1504,2,"Sender asks for status update, requiring a response but not urgent"
1505,1,"Simple attendance confirmation, no action needed"
1506,1,Informational announcement about enrollment start date
1508,2,Action items require a response before the upcoming meeting
1510,1,The email is a forwarded joke with no actionable request
1511,2,"Sender proposes a meeting on Saturday, not urgent"
1513,1,"Promotional email, no action required"
1515,1,Email contains only forwarding information with no actionable request
1516,1,Informational email with no immediate action required
1517,1,Informational notice about wallet theft with no required action
1518,3,Urgent request to submit surveys immediately
1519,1,Email contains a suspicious link with no clear actionable request
1520,3,Urgent reminder about same-day info sessions
1521,1,Informational announcement with no required action
1522,3,Urgent request to fax escrow documents for closing
1523,1,Informational forwarded email with no action required
1524,2,The sender asks a question that needs a response but is not urgent
1527,1,"Unsolicited promotional email, no action required"
1528,1,Email provides news updates with no required action
1529,2,Request for copies requires a response but is not urgent
1530,1,"Unsolicited marketing, no action required"
1531,1,Informational announcement with no required action
1532,1,It's a promotional newsletter with no action required
1533,1,"Spam promotional email, no action required"
1534,1,Promotional email with no required action
1535,1,The email is an informational forward with no actionable request
1536,3,Urgent request for testimony information
1539,2,Needs response about hotel choice and cost
1540,3,"Feedback deadline is imminent, requiring immediate action"
1541,1,Informational email with no clear action required
1542,1,"Informational news about Enron, no action required"
1543,1,"Promotional email, no action required"
1544,1,Informational update with no required action
1545,1,"Provides new address and contact info, no urgent action required"
1546,1,Informational announcement with no required action
1547,1,FYI informational notice with no required action
1550,1,Informational market update with no required action
1552,1,"Informational newsletter, no action required"
1553,1,"Informational update, no action required"
1554,1,Informational newsletter with no required action
1556,2,"User asks how to sign up for the run, requiring a response"
1557,1,Informational email with no action required
1558,1,Informational forwarded email with no clear action required
1559,1,Informal friendly note with no required action
1560,1,Informational forward with no action required
1561,1,Informational forward with no required action
1562,2,Needs confirmation but not urgent
1563,1,Promotional content with no urgent action required
1564,1,Provides contact info with no required action
1565,1,Content is non-business and does not require a response
1566,2,"Request for information, not urgent"
1567,1,"Promotional conference announcement, no immediate action required"
1568,1,Informational weather forecast with no required action
1569,2,Requires confirmation of board membership by tomorrow
1570,2,Needs a response to confirm meeting dates
1571,1,Delivery failure notice is informational and requires no immediate action
1572,1,Informational announcement with no required action
1573,2,The email requests a response but does not indicate urgency
1574,2,Job inquiry requires a response but not urgent
1576,1,"Just a comment, no action needed"
1577,1,"Promotional content, no action required"
1578,1,Email contains only a forwarded message with no actionable request
1579,2,Requires response but not urgent
1580,1,Informational conference announcement
1581,1,Informational content with no required action
1582,1,Informational newsletter with no required action
1583,2,Training invitation requires response but is not urgent
1584,1,Informational clarification about migration
1586,2,Needs response to coordinate event timing
1589,1,Informational newsletter with no required action
1590,1,"Congratulatory message, no action needed"
1591,2,"Requires review and confirmation, but not urgent"
1592,2,Needs discussion and response but not urgent
1594,1,The email is a forwarded fax notice with no clear action required
1596,1,Informational FYI with no required action
1598,1,Promotional content with no actionable request
1599,1,"Informational market report, no action required"
1600,1,Promotional newsletter with no required action
1601,1,Informational content with no required action
1602,1,Non‑urgent suggestion with no immediate action required
1603,1,Promotional email with no required action
1604,1,Informational email with no required action
1606,1,Email is a casual acknowledgment with no required action
1608,2,Invitation requires a response but not urgent
1609,1,Informational email with no required action
1610,2,"Request to forward information, not urgent"
1611,1,"Promotional newsletter, no action required"
1612,1,Informational status update with no required action
1614,1,Forwarded informational article with no required action
1616,2,Needs clarification on payment terms
1617,1,"Informational newsletter, no action required"
1618,1,Promotional newsletter with no required action
1619,2,Requires printing and bringing documents to upcoming meeting
1620,3,Schedule download failed and requires manual intervention
1621,1,Informational email with no required action
1622,1,Informational newsletter with no required action
1623,1,"Informational newsletter, no action required"
1626,1,"Informational reservation confirmation, no action required"
1627,2,"Needs response to schedule future dinners, but not urgent"
1628,1,Informational update with no required action
1629,1,No actionable request or urgency evident
1630,1,"Promotional email with discounts, no action required"
1631,1,Casual message with no clear request
1632,2,Needs response to confirm lunch timing
1633,1,Informational forwarded email with no required action
1634,2,Invitation requires a response but no immediate deadline
1635,3,Urgent meeting tomorrow requires immediate attendance
1636,1,"General warning, no action required"
1637,2,Confirmation of meeting time and contribution requires a response but is not urgent
1638,1,Informational email with no clear action required
1639,1,"Promotional email, no action required"
1640,1,Promotional holiday greeting with no required action
1641,3,Time-sensitive purchase deadline on Friday
1642,1,Promotional email with no urgent action required
1644,1,"Informational announcement, no action needed"
1645,1,"Promotional donation request, no urgent action required"
1646,1,Promotional marketing content with no required action
1647,1,The email is an informational confirmation of a presentation date with no required action
1648,1,"Just a forwarded informational message, no action required"
1649,2,User requests removal from distribution list
1650,2,Needs a response to clarify gas sale flexibility
1651,2,Requires a response but not urgent
1653,1,"Informational announcement, no action required"
1654,1,"FYI only, no action required"
1655,2,Request for feedback on filings requires a response but has no urgent deadline
1656,2,Follow-up requires a response but is not urgent
1658,3,Urgent action required before tonight
1660,2,Request for speaking participation requires a response but is not urgent
1661,1,"Promotional spam, no action required"
1662,1,Informational thank-you email with no required action
1664,1,Informational update with no immediate action required
1665,1,Promotional email with no required action
1667,1,"Promotional email, no action required"
1668,3,"Deadline for savings plan changes approaching, requires immediate action"
1669,1,"Promotional spam, no action required"
1670,1,"Promotional email, no action needed"
1671,3,Sender requests urgent clarification for draft
1672,2,Request for information from a Senator's office requires a response but has no immediate deadline
1673,1,"Spam promotional email, no action needed"
1674,1,The email is an FYI forward with no clear action required
1675,2,The email asks for support and a response but does not indicate urgency
1676,1,"Informational announcement about organizational changes, no action required"
1677,3,Marked high importance and includes contract documents needing review
1678,1,Informational portfolio update with no required action
1679,1,"Promotional email, no action required"
1681,2,Requires a response but no urgent deadline
1682,2,Contains draft documents that likely need review
1683,1,"No clear actionable request, appears to be irrelevant forwarding"
1685,2,Needs a response to coordinate plans but not urgent
1686,2,Request requires response but not urgent
1687,2,Requires clarification response but not urgent
1689,1,"Informational notice about policy changes, no immediate action required"
1690,1,Email provides informational news updates with no required action
1691,1,Informational content with no required action
1692,1,"Promotional conference announcement, no action required"
1694,1,Informational update about new locations with no action required
1695,1,Informal food discussion with no urgent action required
1696,1,"Promotional email, no action required"
1697,1,"Casual reminder about plastic cups, no urgent action required"
1698,1,"Informational news, no action required"
1699,1,"FYI only, no immediate action required"
1700,2,Needs review and possible response but not urgent
1701,1,Informational content with no required action
1702,2,Needs a response to discuss meeting dates but not urgent
1703,2,Request for resource reallocation requires a response but is not urgent
1704,3,Schedule download failed and requires immediate manual intervention
1705,1,Forwarded joke with no actionable request
1706,1,"Informational news, no action required"
1707,2,Requires a response but not urgent
1708,1,"Promotional sale email, no action required"
1709,1,Informational news article with no required action
1710,2,Sender needs help fixing email address
1711,2,Requires sending a message and monitoring feedback
1712,1,Informational email with no action required
1713,3,Schedule download failed requiring immediate manual intervention
1714,1,"Informational newsletter, no action required"
1715,1,"Informational newsletter, no action required"
1716,2,"Recipient is asked to provide a convenient day and time, requiring a response but not urgent"
1717,1,"Routine newsletter, no action required"
1719,1,Informational forward with no actionable request
1720,2,Sender expects a callback but not immediate
1721,1,"Informational news article, no action required"
1724,1,"Informal complaint about golf, no urgent action needed"
1725,1,Informational newsletter with no required action
1728,1,Forwarded team building notice is informational with no required action
1730,3,Potentially dangerous issue requiring immediate action
1732,1,It's an informational newsletter with no required action
1733,1,"Spam registration confirmation, no urgent action required"
1734,2,Request to resend a document requires a response but is not urgent
1736,1,"Contains only jokes, no action required"
1737,1,"Informational newsletter, no action required"
1738,1,Forwarded message contains only headers and no actionable request
1739,1,"Informational political request, no urgent action"
1740,1,"Provides documentation link, no action required"
1741,1,Informational announcement about new portal version
1743,1,"Informational email about travel plans, no action required"
1745,1,Informational forwarded email with no action required
1746,1,"Newsletter announcement, no action needed"
1748,1,"No actionable request, just a forwarded praise"
1750,3,Schedule download failed and requires manual intervention
1751,2,Request for contact information requires a response but is not urgent
1752,1,"Newsletter with Bible verse, no action required"
1753,1,Email contains only informational content with no clear action required
1754,2,Requires response to provide agreement and discuss signing authority
1755,1,"Informational news, no action required"
1756,3,Schedule download failed and requires manual intervention
1757,3,Urgent request to prevent charges by immediate action
1758,1,"Email contains no actionable request, only a forwarded notice"
1759,2,Regulatory order requires review and possible response
1760,1,Informational news digest with no required action
1761,3,Upcoming June 11 deadline makes it time-sensitive
1762,2,"User asks for clarification about a suspicious email, needing a response"
1763,2,Request to print a document requires action but has no urgency indicated
1764,1,"Announces postponement, no immediate action required"
1765,1,"Automated fare watch update, no action required"
1767,1,Informational newsletter with no required action
1768,2,Question about Linux requires a response but not urgent
1769,1,Informational news update with no required action
1770,3,"Marked as high importance, indicating urgent attention"
1772,2,Needs a courteous response but not urgent
1775,3,Urgent follow-up data request requiring prompt response
1776,1,The email is a non‑urgent comment about policy with no required action
1777,1,It's an informational newsletter with no required action
1778,3,Urgent need to proceed with design to avoid further delay
1779,2,Needs review and response to settlement draft
1781,2,Needs response about meeting attendance and ride
1782,1,"Spam promotional email, no action required"
1783,1,Promotional email with no required action
1784,2,Internal coordination requires a response but is not urgent
1785,1,Informational newsletter with no required action
1787,1,"Informational update about legislature adjournment, no action required"
1788,1,Informational content with no required action
1789,1,"Forwarded informational email about football, no action needed"
1790,1,Informational update with no required action
1791,3,Urgent request to review CEQA issue affecting study
1792,2,Request for documentation and account details requires a response but is not urgent
1794,1,"Informational newsletter, no action required"
1795,1,"Email contains no actionable request, appears informational"
1796,1,"Informational newsletter, no action required"
1797,1,Informational update with no required action
1798,2,Request requires document changes and printing but no urgent deadline
1799,2,Requires response to address capacity booking information
1800,1,"Promotional spam, no action required"
1801,2,User is asked to complete a survey before migration
1803,1,"Informational newsletter, no action required"
1805,1,Informational email with no actionable request
1806,2,"Scheduling meeting, needs response but not urgent"
1807,1,Promotional email with no required action
1808,1,Forwarded informational email with no action required
1809,1,"No actionable request, just a casual greeting"
1810,2,Requires action to call contacts but not urgent
1812,3,Deadline requires immediate action
1813,2,Candidate requests scheduling a call
1814,1,"Informational newsletter, no action required"
1815,1,Email is FYI with no action required
1816,1,Informational email with no required action
1817,1,Email contains only a forwarded header with no actionable request
1818,1,Forwarded informational email with no action required
1819,3,Potential impact on campaign metrics requires immediate action
1821,1,Informational invitation with no required action
1822,2,Friendly update that warrants a reply but not urgent
1823,1,"Just a casual conversation, no action required"
1824,2,Reminder about upcoming deadline requiring data entry
1825,1,Informational forward with no action required
1826,1,"Informational update, no action required"
1828,2,Request for price information requiring a response
1830,2,Job opportunity email that requires a response but is not urgent
1833,2,"Request for program evaluation and possible termination, needs response but not urgent"
